,Order,PID,area,price,MS.SubClass,MS.Zoning,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Pool.QC,Fence,Misc.Feature,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,AgeofHouse
246,247,906204230,1802,218000,60,RL,12361,Pave,Not Present,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,7,1993,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,85.0,Gd,Gd,PConc,Gd,TA,No,GLQ,860.0,Unf,0.0,86.0,946.0,GasA,Ex,Y,SBrkr,964,838,0,0.0,1.0,2,1,3,1,Gd,8,Typ,1,Gd,2Types,2000.0,RFn,4.0,1017.0,TA,TA,Y,450,92,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,17
247,248,906223090,1949,236000,60,RL,9938,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,CompShg,MetalSd,MetalSd,BrkFace,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,750.0,Unf,0.0,300.0,1050.0,GasA,Ex,Y,SBrkr,1062,887,0,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1993.0,Fin,2.0,574.0,TA,TA,Y,156,90,0,0,0,0,Not Present,GdPrv,Not Present,0,6,2010,WD ,Normal,16
248,249,906225210,996,147000,85,RL,9069,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,747.0,Unf,0.0,189.0,936.0,GasA,Ex,Y,SBrkr,996,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,Not Present,Attchd,1992.0,Unf,2.0,564.0,TA,TA,Y,120,0,0,0,0,0,Not Present,Not Present,Not Present,0,4,2010,WD ,Normal,18
249,250,906378100,1694,245350,20,RL,10475,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1694.0,1694.0,GasA,Ex,Y,SBrkr,1694,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Not Present,Attchd,2008.0,RFn,3.0,776.0,TA,TA,Y,160,33,0,0,0,0,Not Present,Not Present,Not Present,0,2,2010,WD ,Normal,2
250,251,906380190,1208,206000,20,RL,6762,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,24.0,Gd,TA,PConc,Gd,TA,Av,GLQ,686.0,Unf,0.0,501.0,1187.0,GasA,Ex,Y,SBrkr,1208,0,0,1.0,0.0,2,0,2,1,Gd,6,Typ,0,Not Present,Attchd,2006.0,RFn,2.0,632.0,TA,TA,Y,105,61,0,0,0,0,Not Present,Not Present,Not Present,0,2,2010,WD ,Normal,4
251,252,906385010,1226,198900,20,RL,10402,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1226.0,1226.0,GasA,Ex,Y,SBrkr,1226,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Not Present,Attchd,2009.0,RFn,3.0,740.0,TA,TA,Y,0,36,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,1
252,253,906385020,1222,187000,20,RL,7360,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,2010,Gable,CompShg,VinylSd,VinylSd,Stone,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1198.0,1222.0,GasA,Ex,Y,SBrkr,1222,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Not Present,Attchd,2009.0,RFn,2.0,615.0,TA,TA,Y,0,54,0,0,0,0,Not Present,Not Present,Not Present,0,3,2010,WD ,Normal,0
253,254,906402200,3222,320000,60,RL,12376,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,1470.0,Unf,0.0,203.0,1673.0,GasA,Gd,Y,SBrkr,1699,1523,0,1.0,0.0,3,0,5,1,Gd,11,Typ,2,TA,Attchd,1990.0,Unf,3.0,594.0,TA,TA,Y,367,0,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,20
254,255,906425045,1445,138500,50,RL,14235,Pave,Not Present,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,0.0,0.0,2,0,3,1,TA,6,Typ,0,Not Present,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,Not Present,Not Present,Not Present,0,3,2010,WD ,Normal,17
255,256,906477110,1052,155000,80,RL,8816,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,6,7,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,80.0,TA,TA,CBlock,TA,TA,Av,GLQ,504.0,Unf,0.0,506.0,1010.0,GasA,Gd,Y,SBrkr,1052,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,0,Not Present,Attchd,1971.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,0,0,0,Not Present,MnPrv,Not Present,0,6,2010,WD ,Normal,39
256,257,907125090,965,159000,85,RL,11105,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Fa,Av,GLQ,870.0,Unf,0.0,0.0,870.0,GasA,Gd,Y,SBrkr,965,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,0,Not Present,Attchd,1998.0,Unf,2.0,580.0,Gd,TA,Y,71,0,0,0,0,0,Not Present,GdPrv,Not Present,0,7,2010,WD ,Normal,14
257,258,907180050,1692,191000,60,RL,9337,Pave,Not Present,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,353.0,Unf,0.0,525.0,878.0,GasA,Ex,Y,SBrkr,892,800,0,0.0,0.0,2,1,3,1,TA,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,513.0,TA,TA,Y,0,39,0,0,0,0,Not Present,Not Present,Not Present,0,4,2010,WD ,Normal,12
258,259,907185060,1682,200500,60,RL,8750,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,116.0,TA,TA,PConc,Gd,TA,No,GLQ,505.0,Unf,0.0,299.0,804.0,GasA,Ex,Y,SBrkr,804,878,0,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Not Present,Attchd,1998.0,RFn,2.0,523.0,TA,TA,Y,0,77,0,0,0,0,Not Present,Not Present,Not Present,0,6,2010,WD ,Normal,12
259,260,907200280,1026,150000,20,RL,15240,Pave,Not Present,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,8,1977,2004,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,198.0,Rec,688.0,140.0,1026.0,GasA,Ex,Y,SBrkr,1026,0,0,1.0,0.0,1,1,3,1,TA,5,Typ,0,Not Present,Attchd,1977.0,Unf,1.0,308.0,TA,TA,Y,316,85,0,0,0,0,Not Present,MnPrv,Not Present,0,6,2010,WD ,Normal,6
260,261,907200290,1392,161750,60,RL,10900,Pave,Not Present,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,378.0,Unf,0.0,311.0,689.0,GasA,Ex,Y,SBrkr,689,703,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,Not Present,Attchd,1977.0,Fin,1.0,299.0,TA,TA,Y,0,36,0,0,0,0,Not Present,MnPrv,Shed,450,3,2010,WD ,Normal,33
261,262,907200340,894,128200,20,RL,10650,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,182.0,ALQ,712.0,0.0,894.0,GasA,TA,Y,SBrkr,894,0,0,1.0,0.0,1,0,3,1,TA,5,Typ,0,Not Present,Attchd,1976.0,Unf,1.0,308.0,TA,TA,Y,365,0,0,0,0,0,Not Present,MnPrv,Not Present,0,2,2010,WD ,Normal,34
262,263,907203070,876,127000,20,RL,7480,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,1972,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,480.0,Unf,0.0,396.0,876.0,GasA,TA,Y,SBrkr,876,0,0,1.0,0.0,1,0,3,1,TA,5,Typ,0,Not Present,Detchd,1977.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,Not Present,MnPrv,Not Present,0,6,2010,WD ,Normal,38
263,264,907250030,1978,318000,20,RL,10389,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,CemntBd,CmentBd,BrkFace,320.0,Gd,TA,PConc,Gd,TA,No,GLQ,1682.0,Unf,0.0,296.0,1978.0,GasA,Ex,Y,SBrkr,1978,0,0,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2003.0,RFn,3.0,850.0,TA,TA,Y,188,25,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,7
264,265,907252120,1601,272000,20,RL,11423,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,479.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1358.0,Unf,0.0,223.0,1581.0,GasA,Ex,Y,SBrkr,1601,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,670.0,TA,TA,Y,180,0,0,0,0,0,Not Present,MnPrv,Shed,2000,5,2010,WD ,Normal,8
265,266,907262050,1829,237000,60,RL,9548,Pave,Not Present,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,Gd,TA,PConc,Gd,TA,No,GLQ,483.0,Unf,0.0,458.0,941.0,GasA,Ex,Y,SBrkr,941,888,0,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2003.0,RFn,2.0,613.0,TA,TA,Y,192,39,0,0,0,0,Not Present,Not Present,Not Present,0,1,2010,WD ,Normal,7
266,267,907280040,2098,240000,60,RL,9375,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,Ex,Y,SBrkr,1044,1054,0,0.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1997.0,Fin,2.0,621.0,TA,TA,Y,331,38,0,0,0,0,Not Present,Not Present,Not Present,0,4,2010,WD ,Normal,13
267,268,907290040,1661,224900,20,RL,12137,Pave,Not Present,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,442.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1649.0,1649.0,GasA,Ex,Y,SBrkr,1661,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Not Present,Attchd,1998.0,RFn,2.0,598.0,TA,TA,Y,0,34,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,12
268,269,907290170,848,143750,120,RM,4435,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,672.0,Unf,0.0,176.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,1.0,0.0,1,0,1,1,Gd,4,Typ,0,Not Present,Attchd,2003.0,Fin,2.0,420.0,TA,TA,Y,140,0,0,0,0,0,Not Present,Not Present,Not Present,0,4,2010,WD ,Normal,7
269,270,907290240,848,143000,120,RM,4426,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662.0,Unf,0.0,186.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,1.0,0.0,1,0,1,1,Gd,3,Typ,0,Not Present,Attchd,2004.0,RFn,2.0,420.0,TA,TA,Y,160,0,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,6
270,271,907401090,1668,232000,20,RL,10635,Pave,Not Present,IR2,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,171.0,Gd,TA,PConc,Gd,TA,Av,BLQ,370.0,GLQ,972.0,315.0,1657.0,GasA,Ex,Y,SBrkr,1668,0,0,1.0,0.0,2,0,3,1,Gd,8,Typ,1,TA,Attchd,2003.0,Fin,2.0,502.0,TA,TA,Y,0,262,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,7
271,272,907410080,1484,213000,20,RL,8400,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,109.0,Gd,TA,PConc,Gd,TA,Av,GLQ,712.0,Unf,0.0,761.0,1473.0,GasA,Ex,Y,SBrkr,1484,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,Not Present,Attchd,2004.0,RFn,2.0,606.0,TA,TA,Y,0,35,0,144,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,5
272,273,907414030,1414,185500,20,RL,8773,Pave,Not Present,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1390.0,1414.0,GasA,Ex,Y,SBrkr,1414,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Not Present,Attchd,2004.0,RFn,2.0,494.0,TA,TA,Y,132,105,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,6
273,274,908102060,640,84900,30,RL,8777,Pave,Not Present,Reg,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,1Fam,1Story,3,6,1945,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,Not Present,Not Present,Not Present,Not Present,0.0,Not Present,0.0,0.0,0.0,GasA,TA,N,SBrkr,640,0,0,0.0,0.0,1,0,2,1,TA,5,Min1,0,Not Present,Detchd,1945.0,Unf,1.0,240.0,TA,TA,N,0,0,0,0,0,0,Not Present,Not Present,Not Present,0,4,2010,ConLD,Normal,3
274,275,908102110,992,155891,20,RL,8842,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,381.0,381.0,GasA,Ex,Y,SBrkr,992,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,Not Present,Detchd,1954.0,Unf,1.0,319.0,TA,TA,Y,60,0,56,0,0,0,Not Present,MnPrv,Not Present,0,1,2010,Oth,Abnorml,56
275,276,908102130,1664,100000,90,RL,9825,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1965,1965,Hip,CompShg,AsphShn,AsphShn,None,0.0,TA,TA,CBlock,Not Present,Not Present,Not Present,Not Present,0.0,Not Present,0.0,0.0,0.0,GasA,TA,N,SBrkr,1664,0,0,0.0,0.0,2,0,4,2,TA,8,Typ,0,Not Present,Not Present,Not Present,Not Present,0.0,0.0,Not Present,Not Present,Y,0,0,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,45
276,277,908102170,1196,144000,20,RL,10044,Pave,Not Present,IR1,Low,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1070.0,Unf,0.0,126.0,1196.0,GasA,TA,Y,SBrkr,1196,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,0,Not Present,Attchd,1968.0,RFn,1.0,336.0,TA,TA,Y,257,0,168,0,0,0,Not Present,MnPrv,Not Present,0,6,2010,WD ,Normal,42
277,278,908102300,1120,64000,50,RL,11792,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,744.0,744.0,GasA,Ex,N,FuseF,792,328,0,0.0,0.0,1,0,2,1,Fa,5,Typ,0,Not Present,Detchd,1956.0,Unf,2.0,480.0,TA,Fa,P,0,0,0,0,160,0,Not Present,Not Present,Not Present,0,6,2010,WD ,Abnorml,60
278,279,908103350,1096,125200,80,RL,6305,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1975,1975,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,528.0,Unf,0.0,480.0,1008.0,GasA,TA,Y,SBrkr,1096,0,0,1.0,0.0,1,0,3,1,TA,5,Typ,1,Fa,Detchd,1975.0,Unf,1.0,352.0,TA,TA,Y,0,0,0,0,0,0,Not Present,Not Present,Not Present,0,6,2010,WD ,Normal,35
279,280,908152080,1117,107000,80,RL,7819,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,422.0,BLQ,127.0,480.0,1029.0,GasA,TA,Y,SBrkr,1117,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,1,TA,Detchd,1976.0,Unf,2.0,672.0,TA,TA,Y,144,0,0,0,0,0,Not Present,MnPrv,Not Present,0,3,2010,WD ,Abnorml,34
280,281,908203100,960,90000,20,RL,6410,Pave,Not Present,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1958,1958,Hip,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Ex,Y,SBrkr,960,0,0,0.0,0.0,1,0,3,1,TA,5,Typ,0,Not Present,Not Present,Not Present,Not Present,0.0,0.0,Not Present,Not Present,Y,0,0,0,0,0,0,Not Present,MnPrv,Not Present,0,5,2010,WD ,Normal,52
281,282,908208020,1121,140000,20,RM,8546,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1121.0,1121.0,GasA,Ex,Y,SBrkr,1121,0,0,0.0,0.0,2,0,2,1,TA,5,Typ,0,Not Present,Attchd,2003.0,RFn,2.0,440.0,TA,TA,Y,132,64,0,0,0,0,Not Present,Not Present,Not Present,0,3,2010,WD ,Normal,6
282,283,908225320,1487,113000,50,RL,8741,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,No,LwQ,94.0,Unf,0.0,641.0,735.0,GasA,TA,Y,FuseA,798,689,0,0.0,0.0,1,1,3,1,TA,7,Typ,1,Gd,Detchd,1949.0,Unf,1.0,220.0,TA,TA,Y,0,140,0,0,0,0,Not Present,MnPrv,Not Present,0,4,2010,WD ,Normal,60
283,284,908226130,924,80000,190,RL,12180,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,4,4,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Gd,TA,No,BLQ,348.0,Unf,0.0,324.0,672.0,Grav,Fa,N,FuseA,672,252,0,1.0,0.0,1,0,2,1,Fa,5,Typ,0,Not Present,Detchd,1941.0,Unf,1.0,280.0,TA,TA,Y,0,0,0,0,0,0,Not Present,MnPrv,Not Present,0,7,2010,WD ,Normal,60
284,285,908275300,1526,144500,20,RL,8562,Pave,Not Present,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,5,6,1957,2002,Hip,CompShg,HdBoard,HdBoard,Stone,145.0,TA,TA,CBlock,TA,TA,Av,Rec,383.0,Unf,0.0,833.0,1216.0,GasA,Ex,Y,FuseA,1526,0,0,0.0,0.0,1,0,4,1,TA,7,Min2,1,Gd,Basment,1957.0,Unf,1.0,364.0,TA,TA,Y,116,78,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,8
285,286,909100080,1296,104000,30,RL,4853,Pave,Not Present,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Artery,Norm,1Fam,1Story,5,6,1924,1999,Gable,CompShg,MetalSd,VinylSd,BrkFace,203.0,TA,TA,BrkTil,TA,TA,Mn,Rec,133.0,Unf,0.0,974.0,1107.0,GasA,Fa,N,FuseA,1296,0,0,0.0,0.0,2,0,2,1,Fa,5,Typ,1,Gd,Detchd,1979.0,Unf,1.0,260.0,TA,TA,Y,0,0,36,0,0,0,Not Present,MnPrv,Not Present,0,5,2010,WD ,Normal,11
286,287,909100110,1647,128000,70,RL,6858,Pave,Not Present,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,806.0,GasA,TA,N,FuseF,841,806,0,1.0,0.0,1,1,4,1,Fa,6,Typ,0,Not Present,Detchd,1920.0,Unf,1.0,216.0,TA,TA,Y,0,66,136,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,60
287,288,909101070,864,58500,30,RL,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,Fa,BrkTil,TA,Fa,No,Rec,203.0,Unf,0.0,661.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,Not Present,Detchd,1938.0,Unf,1.0,200.0,TA,Fa,Y,0,0,96,0,0,0,Not Present,Not Present,Not Present,0,6,2010,WD ,Normal,60
288,289,909176140,1691,127000,50,RL,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,218.0,Unf,0.0,808.0,1026.0,GasA,TA,Y,SBrkr,1026,665,0,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1.0,308.0,TA,TA,Y,0,0,242,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,60
289,290,909176150,856,126000,30,RL,7890,Pave,Not Present,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,0,166,0,Not Present,Not Present,Not Present,0,3,2010,WD ,Normal,60
290,291,909177100,2650,160000,90,RH,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,4,6,1967,1967,Flat,Tar&Grv,Plywood,CBlock,None,0.0,TA,TA,Slab,Not Present,Not Present,Not Present,Not Present,0.0,Not Present,0.0,0.0,0.0,GasA,TA,Y,SBrkr,862,1788,0,0.0,0.0,3,0,6,2,TA,10,Min2,0,Not Present,Not Present,Not Present,Not Present,0.0,0.0,Not Present,Not Present,Y,0,0,0,0,0,0,Not Present,Not Present,Shed,500,2,2010,WD ,Normal,43
